+AUDI A4 2.0 TDI ultra 7AT (150),L4,1968,110.3 @ 3250-4200,320 @ 1500-3250,Turbocharged Common Rail,Diesel,105,209,8.7 s,Front Wheel Drive,7-speed automatic (S tronic),4.8 L/100Km,3.7 L/100Km,4 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1545 kg,2070 kg
+AUDI A4 2.0 TDI ultra 7AT (190),L4,1968,139.7 @ 3800-4200,400 @ 1750-3000,Turbocharged Common Rail,Diesel,103,209,7.7 s,Front Wheel Drive,7-speed automatic (S tronic),4.7 L/100Km,3.5 L/100Km,4 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1545 kg,2070 kg
+AUDI A4 3.0 TDI 7AT (218),V6,2967,160.3 @ 4000-5000,400 @ 1250-3750,Turbocharged Common Rail,Diesel,117,249,6.6 s,Front Wheel Drive,7-speed automatic (S tronic),4.9 L/100Km,4.3 L/100Km,4.5 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1615 kg,2110 kg
+AUDI A4 3.0 TDI 8AT (272),V6,2967,200.1 @ 3250-4250,600 @ 1500-3000,Turbocharged Common Rail,Diesel,137,249,5.3 s,All Wheel Drive,8-speed automatic (Tiptronic),5.6 L/100Km,4.9 L/100Km,5.2 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1735 kg,2230 kg
+AUDI A4 3.0 TDI quattro 7AT (218),V6,2967,160.3 @ 4000-5000,400 @ 1250-3750,Turbocharged Common Rail,Diesel,127,249,6.3 s,All Wheel Drive,7-speed automatic (S tronic),5.1 L/100Km,4.7 L/100Km,4.8 L/100Km,4727 mm,1842 mm,1427 mm,"1,572/1,554 mm",2819 mm,119 mm,17 cuFT,481 L,0.27,1695 kg,2190 kg
+ASTON MARTIN Vanquish 5.9l V12 (573),v12,5935,421 @ 6750,620 @ 5500,Direct Fuel Injection,Gasoline,335,295,4.1 s,Rear Wheel Drive,six-speed automatic (Touchtronic 2),17.8 L/100Km,8.5 L/100Km,12 L/100Km,4719 mm,2068 mm,1280 mm,-,2741 mm,-,13 cuFT,368 L,-,1739 kg,-
+PEUGEOT 208 5 doors 1.0 PureTech 5MT (68),L3,999,50 @ 6000,95 @ 3000,Multipoint Injection,Gasoline,102,166,14 s,Front Wheel Drive,5-speed manual,5.2 L/100Km,3.9 L/100Km,4.4 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1035 kg,-
+PEUGEOT 208 5 doors 1.2 PureTech 5AT (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,97,179,14.5 s,Front Wheel Drive,5-speed automatic,4.6 L/100Km,3.9 L/100Km,4.2 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1040 kg,-
+PEUGEOT 208 5 doors 1.2 PureTech 5MT (110),L3,1199,81 @ 5500,205 @ 1500,Turbocharged Direct Injection,Gasoline,103,190,9.6 s,Front Wheel Drive,5-speed manual,5.6 L/100Km,3.8 L/100Km,4.5 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1135 kg,-
+PEUGEOT 208 5 doors 1.2 PureTech 5MT (82),L3,1199,60 @ 5750,118 @ 2750,Multipoint Injection,Gasoline,104,175,12.2 s,Front Wheel Drive,5-speed manual,5.5 L/100Km,3.9 L/100Km,4.5 L/100Km,3965 mm,1740 mm,1461 mm,"1,466/1,450 mm",2537 mm,-,11 cuFT,311 L,0.31,1035 kg,-
